t|maxTris|avgDegree|maxCCsize
0|2|0.14|3
1|2|0.26|5
2|2|0.38|5
3|2|0.5|5
4|2|0.62|9
5|2|0.74|9
6|2|0.86|9
7|2|0.98|11
8|2|1.1|11
9|2|1.22|16
10|4|1.34|35
11|4|1.46|39
12|10|1.58|55
13|10|1.7|58
14|10|1.82|63
15|10|1.94|76
16|10|2.06|86
17|10|2.18|88
18|10|2.3|90
19|10|2.42|90
20|10|2.54|90
21|10|2.66|92
22|10|2.78|92
23|12|2.9|92
24|12|3.02|92
25|12|3.14|92
26|12|3.26|93
27|12|3.38|94
28|12|3.5|95
29|12|3.62|95
30|14|3.74|95
31|14|3.86|95
32|14|3.98|97
33|14|4.1|97
34|18|4.22|97
35|18|4.34|99
36|18|4.46|99
37|26|4.58|99
38|26|4.7|99
39|26|4.82|99
40|26|4.94|99
41|37|5.06|100
42|37|5.18|100
43|39|5.3|100
44|41|5.42|100
45|43|5.54|100
46|45|5.66|100
47|47|5.78|100
48|47|5.9|100
49|47|6.02|100
50|47|6.14|100
51|49|6.26|100
52|49|6.38|100
53|49|6.5|100
54|53|6.62|100
55|53|6.74|100
56|55|6.86|100
57|57|6.98|100
58|57|7.1|100
59|61|7.22|100
60|61|7.34|100
61|63|7.46|100
62|63|7.58|100
63|69|7.7|100
64|69|7.82|100
65|69|7.94|100
66|71|8.06|100
67|71|8.18|100
68|74|8.3|100
69|74|8.42|100
70|80|8.54|100
71|84|8.66|100
72|96|8.78|100
73|100|8.9|100
74|105|9.02|100
75|107|9.14|100
76|109|9.26|100
77|115|9.38|100
78|125|9.5|100
79|125|9.62|100
80|127|9.74|100
81|127|9.86|100
82|127|9.98|100
83|127|10.1|100
84|130|10.22|100
85|134|10.34|100
86|136|10.46|100
87|140|10.58|100
88|145|10.7|100
89|145|10.82|100
90|145|10.94|100
91|147|11.06|100
92|149|11.18|100
93|153|11.3|100
94|165|11.42|100
95|169|11.54|100
96|173|11.66|100
97|173|11.78|100
98|173|11.9|100
99|175|12.02|100
